country,cities,providers,independent,intermediated,reviews,mean_rating,translated_pct,negative_pct
India,4,2558,6610,5453,12063,4.7167,98.342,5.5127
Brazil,4,2703,7370,4669,12039,4.5486,7.6834,8.9625
United Arab Emirates,3,1361,3493,2906,6399,4.6779,93.6865,6.0478
South Africa,2,1011,2330,2042,4372,4.6645,95.4026,6.3129
Saudi Arabia,3,921,2182,2033,4215,4.2335,97.5326,15.5397
Russia,2,894,2097,1791,3888,4.5108,96.5278,10.108
Egypt,3,886,1659,2121,3780,4.5971,90.7143,7.2222
Iran,3,606,916,1109,2025,4.3289,98.6173,13.5309
Ethiopia,2,305,420,750,1170,4.6726,96.1538,5.2991
China,3,255,404,682,1086,4.3803,83.4254,8.1952
TOTAL,29,11500,27481,23556,51037,4.5797,74.9946,8.1372
